code,name,city,state,lat,lng
FNO,"Fresno, California",Fresno,CA,36.738457,-119.782926
FRA,"Framingham, Massachusetts",Framingham,MA,42.275993,-71.420033
FRE,"Freeport, ME",Freeport,ME,43.855035,-70.102358
FTC,"Ticonderoga, New York",Ticonderoga,NY,43.853788,-73.389681
FTL,"Fort Lauderdale, Florida",Fort Lauderdale,FL,26.119256,-80.17
FTN,"Fulton, Kentucky",Fulton,KY,36.525704,-88.888772
FTW,"Fort Worth, Texas",Fort Worth,TX,32.752563,-97.326673
FUL,"Fullerton, California",Fullerton,CA,33.868969,-117.922849
GAC,"Santa Clara (Great America), California",Santa Clara- Great American,CA,37.406778,-121.967003
GAS,"Gastonia, North Carolina",Gastonia,NC,35.269186,-81.162366
GBB,"Galesburg, Illinois",Galesburg,IL,40.944678,-90.364106
GCK,"Garden City, Kansas",Garden City,KS,37.964365,-100.873256
GDL,"Glendale, California",Glendale,CA,34.123706,-118.258868
GFD,"Greenfield, MA",Greenfield,MA,42.585458,-72.600765
GFK,"Grand Forks, North Dakota",Grand Forks,ND,47.917522,-97.110835
GGW,"Glasgow, Montana",Glasgow,MT,48.194854,-106.636188
GJT,"Grand Junction, Colorado",Grand Junction,CO,39.064375,-108.569929
GLE,"Gainesville, Texas",Gainesville,TX,33.625159,-97.140896
GLM,"Gilman, Illinois",Gilman,IL,40.752547,-87.998055
GLN,"Glenview, Illinois",Glenview,IL,42.075038,-87.805562
GLP,"Gallup, New Mexico",Gallup,NM,35.529176,-108.740548
GNB,"Greensburg, Pennsylvania",Greensburg,PA,40.304986,-79.546893
GNS,"Gainesville, Georgia",Gainesville,GA,34.288897,-83.819694
GPK,"East Glacier Park, Montana",East Glacier Park,MT,48.442333,-113.219523
GRA,"Granby, Colorado",Granby,CO,40.084188,-105.935503
GRE,"Greeley, Colorado",Greeley,CO,40.424,-104.6885
GRI,"Green River, Utah",Green River,UT,38.992039,-110.165228
GRO,"Greensboro, North Carolina",Greensboro,NC,36.069797,-79.78708
GRR,"Grand Rapids, Michigan",Grand Rapids,MI,42.955788,-85.672447
GRV,"Greenville, South Carolina",Greenville,SC,34.858256,-82.413486
GSC,"Glenwood Springs, Colorado",Glenwood Springs,CO,39.547903,-107.323218
GTA,"Goleta, California",Goleta,CA,34.437729,-119.843092
GUA,"Guadalupe, California",Guadalupe,CA,34.962927,-120.57341
GVB,"Grover Beach, California",Grover Beach,CA,35.12126,-120.629266
GWD,"Greenwood, Mississippi",Greenwood,MS,33.517159,-90.176454
HAM,"Hamlet, North Carolina",Hamlet,NC,34.883663,-79.699218
HAR,"Harrisburg, Pennsylvania",Harrisburg,PA,40.26205,-76.878256
HAS,"Hastings, Nebraska",Hastings,NE,40.584276,-98.387534
HAV,"Havre, Montana",Havre,MT,48.554465,-109.678352
HAY,"Hayward, California",Hayward,CA,37.665997,-122.099277
HAZ,"Hazlehurst, Mississippi",Hazlehurst,MS,31.86132,-90.394347
HBG,"Hattiesburg, Mississippi",Hattiesburg,MS,31.326921,-89.286463
HEM,"Hermann, Missouri",Hermann,MO,38.707283,-91.432558
HER,"Helper, Utah",Helper,UT,39.684036,-110.853894
HFD,"Hartford, Connecticut",Hartford,CT,41.768761,-72.681314
HFY,"Harpers Ferry, West Virginia",Harpers Ferry,WV,39.324452,-77.731078
HGD,"Huntingdon, Pennsylvania",Huntingdon,PA,40.483665,-78.01178
HHL,"Haverhill, Massachusetts",Haverhill,MA,42.773297,-71.086375
HIN,"Hinton, West Virginia",Hinton,WV,37.675037,-80.892232
HLD,"Holdrege, Nebraska",Holdrege,NE,40.435926,-99.371241
HLK,"Holyoke, Massachusetts",Holyoke,MA,42.204156,-72.602309
HMD,"Hammond, Louisiana",Hammond,LA,30.50718,-90.462169
HMI,"Hammond-Whiting, Indiana",Hammond-Whiting,IN,41.691155,-87.506511
HMW,"Homewood, Illinois",Homewood,IL,41.562446,-87.668685
HNF,"Hanford, California",Hanford,CA,36.326078,-119.651816
HOL,"Hollywood, Florida",Hollywood,FL,26.011641,-80.167884
HOM,"Holland, Michigan",Holland,MI,42.791096,-86.096553
HOP,"Hope, AR",Hope,AR,33.668913,-93.592247
HOS,"Houston, Texas",Houston,TX,29.767245,-95.367526
HPT,"High Point, North Carolina",High Point,NC,35.957128,-80.006097
HUD,"Hudson, New York",Hudson,NY,42.253891,-73.797729
HUN,"Huntington, West Virginia",Huntington,WV,38.41582,-82.439735
HUT,"Hutchinson, Kansas",Hutchinson,KS,38.055712,-97.931522
IDP,"Independence, Missouri",Independence,MO,39.086917,-94.429711
IND,"Indianapolis, Indiana",Indianapolis,IN,39.761984,-86.160423
IRV,"Irvine, California",Irvine,CA,33.656771,-117.733695
JAN,"Jackson, Mississippi",Jackson,MS,32.300808,-90.190936
JAX,"Jacksonville, Florida",Jacksonville,FL,30.365601,-81.723893
JEF,"Jefferson City, Missouri",Jefferson City,MO,38.57887,-92.169906
JOL,"Joliet, Illinois",Joliet,IL,41.52524,-88.078766
JSP,"Jesup, Georgia",Jesup,GA,31.605589,-81.882173
JST,"Johnstown, Pennsylvania",Johnstown,PA,40.329689,-78.921996
JXN,"Jackson, Michigan",Jackson,MI,42.248113,-84.39967
KAL,"Kalamazoo, Michigan",Kalamazoo,MI,42.295255,-85.584018
KAN,"Kannapolis, North Carolina",Kannapolis,NC,35.496172,-80.624928
KCY,"Kansas City, Missouri",Kansas City,MO,39.084576,-94.585129
KEE,"Kewanee, Illinois",Kewanee,IL,41.245765,-89.927544
KEL,"Kelso-Longview, Washington",Kelso-Longview,WA,46.142264,-122.913016
KFS,"Klamath Falls, Oregon",Klamath Falls,OR,42.225509,-121.771952
KIN,"West Kingston, Rhode Island",Kingston,RI,41.483959,-71.560597
KIS,"Kissimmee, Florida",Kissimmee,FL,28.293835,-81.404234
KKI,"Kankakee, Illinois",Kankakee,IL,41.119259,-87.86543
KNG,"Kingman, Arizona",Kingman,AZ,35.188279,-114.052816
KTR,"Kingstree, South Carolina",Kingstree,SC,33.663882,-79.829026
KWD,"Kirkwood, Missouri",Kirkwood,MO,38.581067,-90.406761
LAB,"Latrobe, Pennsylvania",Latrobe,PA,40.317405,-79.385083
LAF,"Lafayette, Indiana",Lafayette,IN,40.419347,-86.895901
LAG,"La Grange, Illinois",LaGrange Road,IL,41.815634,-87.871545
LAJ,"La Junta, Colorado",La Junta,CO,37.988249,-103.543576
LAK,"Lakeland, Florida",Lakeland,FL,28.045603,-81.951874
LAP,"La Plata, Missouri",La Plata,MO,40.02922,-92.493384
LAU,"Laurel, Mississippi",Laurel,MS,31.692168,-89.127933
LAX,"Los Angeles, California",Los Angeles,CA,34.056177,-118.236778
LCH,"Lake Charles, Louisiana",Lake Charles,LA,30.238126,-93.217037
LCN,"Lincoln, Illinois",Lincoln,IL,40.147855,-89.363699
LDB,"Lordsburg, New Mexico",Lordsburg,NM,32.35007,-108.707025
LEE,"Lees Summit, Missouri",Lees Summit,MO,38.912623,-94.377972
LEW,"Lewistown, Pennsylvania",Lewistown,PA,40.588309,-77.580047
LFT,"Lafayette, Louisiana",Lafayette,LA,30.226548,-92.014519
LIB,"Libby, Montana",Libby,MT,48.394842,-115.54889
LKL,"Lakeland, Florida",Lakeland,FL,28.045603,-81.951874
LMR,"Lamar, Colorado",Lamar,CO,38.089623,-102.618574
LMY,"Lamy, New Mexico",Lamy,NM,35.480973,-105.879968
LNC,"Lancaster, Pennsylvania",Lancaster,PA,40.054181,-76.307714
LNK,"Lincoln, Nebraska",Lincoln,NE,40.815871,-96.71317
LNS,"East Lansing, Michigan",East Lansing,MI,42.718731,-84.495962
LOD,"Lodi, California",Lodi,CA,38.133201,-121.271887
LOR,"Lorton (Auto Train), Virginia",Lorton,VA,38.708143,-77.220942
LPE,"Lapeer, Michigan",Lapeer,MI,43.04952,-83.306154
LPS,"Lompoc-Surf, California",Lompoc-Surf,CA,34.682704,-120.605001
LRC,"Lawrence, Kansas",Lawrence,KS,38.971166,-95.230539
LRK,"Little Rock, Arkansas",Little Rock,AR,34.750298,-92.286785
LSE,"LaCrosse, Wisconsin",La Crosse,WI,43.833155,-91.247298
LSV,"Las Vegas, New Mexico",Las Vegas,NM,35.593432,-105.212779
LVW,"Longview, Texas",Longview,TX,32.494032,-94.728322
LWA,"Leavenworth, WA",Leavenworth,WA,47.606493,-120.643965
LYH,"Lynchburg, Virginia",Lynchburg,VA,37.406439,-79.156934
MAC,"Macomb, Illinois",Macomb,IL,40.461212,-90.67094
MAL,"Malta, Montana",Malta,MT,48.360477,-107.872242
MAT,"Mattoon, Illinois",Mattoon,IL,39.48273,-88.376045
MAY,"Maysville,  Kentucky",Maysville,KY,38.652148,-83.771074
MCB,"McComb, Mississippi",McComb,MS,31.244467,-90.451334
MCD,"Merced, California",Merced,CA,37.307183,-120.476805
MCG,"McGregor, Texas",McGregor,TX,31.443352,-97.404756
MCI,"Michigan City, Indiana",Michigan City,IN,41.721103,-86.905385
MCK,"McCook, Nebraska",McCook,NE,40.197634,-100.625792
MDN,"Meriden, Connecticut",Meriden,CT,41.539385,-72.800678
MDO,"Madison, Florida",Madison,FL,30.459878,-83.413218
MDR,"Madera, California",Madera,CA,37.022471,-120.07498
MDT,"Mendota, Illinois",Mendota,IL,41.549584,-89.11792
MEI,"Meridian, Mississippi",Meridian,MS,32.364166,-88.696568
MEM,"Memphis, Tennessee",Memphis,TN,35.132458,-90.059109
MET,"Metropark (Iselin), New Jersey",Metropark,NJ,40.568056,-74.329583
MHL,"Marshall, Texas",Marshall,TX,32.551549,-94.366995
MIA,"Miami, Florida",Miami,FL,25.849554,-80.257759
MID,"Middletown, Pennsylvania",Middletown,PA,40.192569,-76.730943
MIN,"Mineola, Texas",Mineola,TX,32.662049,-95.4891
MJY,"Mount Joy, Pennsylvania",Mount Joy,PA,40.10896,-76.502641
MKA,"Milwaukee (General Mitchell Intl Airport), Wiscons",Milwaukee Mitchell Airport,WI,42.940583,-87.924359
MKE,"Milwaukee, Wisconsin",Milwaukee,WI,43.034518,-87.917104
MNG,"Montgomery, West Virginia",Montgomery,WV,38.180743,-81.32403
MOD,"Modesto, California",Modesto,CA,37.668951,-120.912913
MOE,"Mobile, Alabama",Mobile,AL,30.708108,-88.047508
MOT,"Minot, North Dakota",Minot,ND,48.236083,-101.298557
MPK,"Moorpark, California",Moorpark,CA,34.28476,-118.878059
MPR,"Montpelier, Vermont",Montpelier-Berlin,VT,44.255749,-72.606394
MRB,"Martinsburg, West Virginia",Martinsburg,WV,39.458661,-77.961014
MRC,"Maricopa, Arizona",Maricopa,AZ,33.056284,-112.047137
MSP,"St. Paul/Minneapolis, Minnesota",St. Paul-Minneapolis,MN,44.947661,-93.085355
MSS,"Manassas, Virginia",Manassas,VA,38.750084,-77.472577
MTP,"Mt. Pleasant, Iowa",Mount Pleasant,IA,40.971179,-91.550772
MTZ,"Martinez, California",Martinez,CA,38.018921,-122.138784
MVN,"Malvern, Arkansas",Malvern,AR,34.365484,-92.814018
MVW,"Mount Vernon, Washington",Mount Vernon,WA,48.41847,-122.334738
MYS,"Mystic, Connecticut",Mystic,CT,41.350934,-71.963093
NBK,"New Brunswick, New Jersey",New Brunswick,NJ,40.496522,-74.446265
NBN,"Newbern-Dyersburg, Tennessee",Newbern-Dyersburg,TN,36.112711,-89.262264
NBU,"New Buffalo, MI",New Buffalo,MI,41.796656,-86.745782
NCR,"New Carrollton, Maryland",New Carrollton,MD,38.948098,-76.871494
NDL,"Needles, California",Needles,CA,34.839964,-114.604635
NEW,"Newton, Kansas",Newton,KS,38.046976,-97.344886
NFK,"Norfolk, Virginia",Norfolk,VA,36.843509,-76.276195
NFL,"Niagara Falls, New York, United States",Niagara Falls,NY,43.113548,-79.031865
NFS,VIA Rail Canada Station,Niagara Falls,ND,43.108736,-79.063291
NHT,"Northampton, MA",Northampton,MA,42.318858,-72.626379
NHV,"New Haven, Connecticut",New Haven,CT,41.297714,-72.92667
NIB,"New Iberia, Louisiana",New Iberia,LA,30.008415,-91.823809
NLC,"New London, Connecticut",New London,CT,41.354267,-72.093225
NLS,"Niles, Michigan",Niles,MI,41.837412,-86.252372
NOL,Union Passenger Terminal,New Orleans,LA,29.946085,-90.078291
NOR,"Norman, Oklahoma",Norman,OK,35.219963,-97.443013
NPN,"Newport News, Virginia",Newport News,VA,37.022731,-76.45197
NPV,"Naperville, Illinois",Naperville,IL,41.779514,-88.145497
NRK,"Newark, Delaware",Newark,DE,39.669686,-75.753513
NRO,"New Rochelle, New York",New Rochelle,NY,40.911451,-73.784329
NWK,"Newark (Penn Station), New Jersey",Newark,NJ,40.734706,-74.16475
NYG,"New York (Penn Station), New York",New York,NY,40.750327,-73.994459
NYP,"New York (Penn Station), New York",New York,NY,40.750327,-73.994459
OAC,"Coliseum/Oakland Airport, Oakland, California",Oakland - Coliseum Airport,CA,37.752499,-122.198147
OKC,"Oklahoma City, Oklahoma",Oklahoma City,OK,35.46549,-97.512749
OKE,"Okeechobee, Florida",Okeechobee,FL,27.251867,-80.830812
OKJ,"Oakland, California",Oakland - Jack London Square,CA,37.793866,-122.271667
OLT,"San Diego (Old Town), California",San Diego - Old Town,CA,32.755266,-117.200073
OLW,"Olympia/Lacey, Washington",Olympia-Lacey,WA,46.991273,-122.794059
OMA,"Omaha, Nebraska",Omaha,NE,41.249828,-95.92865
ONA,"Ontario, California",Ontario,CA,34.061672,-117.649569
ORB,"Old Orchard Beach, Maine (Seasonal)",Old Orchard Beach,ME,43.514326,-70.376225
ORC,"Oregon City, Oregon",Oregon City,OR,45.366146,-122.595925
ORL,"Orlando, Florida",Orlando,FL,28.525926,-81.381516
OSB,"Old Saybrook, Connecticut",Old Saybrook,CT,41.30039,-72.376818
OSC,"Osceola, Iowa",Osceola,IA,41.037116,-93.764894
OSD,"Oceanside, California",Oceanside,CA,33.192515,-117.37943
OTM,"Ottumwa, Iowa",Ottumwa,IA,41.018815,-92.414929
OXN,"Oxnard, California",Oxnard,CA,34.199241,-119.175978
PAK,"Palatka, Florida",Palatka,FL,29.649734,-81.640471
PAO,"Paoli, Pennsylvania",Paoli,PA,40.042754,-75.48376
PAR,"Parkesburg, Pennsylvania",Parkesburg,PA,39.95918,-75.922123
PBF,"Poplar Bluff, Missouri",Poplar Bluff,MO,36.753995,-90.393341
PCT,"Princeton, Illinois",Princeton,IL,41.385191,-89.466815
PDX,"Portland, Oregon",Portland,OR,45.528724,-122.676806
PGH,"Pittsburgh, Pennsylvania",Pittsburgh,PA,40.444738,-79.992307
PHL,"Philadelphia (30th St), Pennsylvania",Philadelphia,PA,39.955615,-75.181041
PHN,"Philadelphia (North), Pennsylvania",North Philadelphia,PA,39.99678,-75.155114
PIC,"Picayune, Mississippi",Picayune,MS,30.524606,-89.68026
PIT,"Pittsfield, Massachusetts",Pittsfield,MA,42.451558,-73.2538
PJC,"Princeton Junction, New Jersey",Princeton Junction,NJ,40.31585,-74.623976
PLB,"Plattsburgh, New York",Plattsburgh,NY,44.696728,-73.446284
PLO,"Plano, Illinois",Plano,IL,41.662384,-88.538272
PNS,"Pensacola, Florida",Pensacola,FL,30.417749,-87.205038
PNT,"Pontiac, Michigan",Pontiac,MI,42.632771,-83.292325
POG,"Portage, Wisconsin",Portage,WI,43.547079,-89.467627
POH,"Port Henry, New York",Port Henry,NY,44.042297,-73.458753
POI,"Carlsbad Poinsettia, CA",Carlsbad Poinsettia,CA,33.109248,-117.318743
PON,"Pontiac, Illinois",Pontiac,IL,40.879652,-88.636601
POR,"Portland, Maine",Portland,ME,43.654097,-70.291258
POS,"Pomona (Sunset Ltd), California",Pomona,CA,34.059224,-117.750621
POU,"Poughkeepsie, New York",Poughkeepsie,NY,41.707056,-73.93749
PRB,"Paso Robles, California",Paso Robles,CA,35.622683,-120.68786
PRC,"Prince, West Virginia (Beckley)",Prince,WV,37.856594,-81.060694
PRK,"Port Kent, New York",Port Kent,NY,44.524079,-73.403536
PRO,"Provo, Utah",Provo,UT,40.225957,-111.664001
PSC,"Pasco, Washington",Pasco,WA,46.237012,-119.087729
PSN,"Palm Springs (Train), California",Palm Springs,CA,33.897491,-116.547913
PTB,"Petersburg, Virginia",Petersburg,VA,37.241627,-77.428794
PTH,"Port Huron, Michigan",Port Huron,MI,42.960419,-82.443805
PUR,"Purcell, Oklahoma",Purcell,OK,35.012033,-97.357416
PVD,"Providence, Rhode Island",Providence,RI,41.82949,-71.413478
PVL,"Pauls Valley, Oklahoma",Pauls Valley,OK,34.741735,-97.21846
QAN,"Quantico, Virginia",Quantico,VA,38.521882,-77.293027
QCY,"Quincy, Illinois",Quincy,IL,39.957063,-91.368525
RAT,"Raton, New Mexico",Raton,NM,36.901072,-104.437886
RDD,"Redding (Amtrak Station), California",Redding,CA,40.583595,-122.39337
RDW,"Red Wing, Minnesota",Red Wing,MN,44.566214,-92.537066
REN,"Rensselaer, Indiana",Rensselaer,IN,40.943281,-87.155121
RGH,"Raleigh, North Carolina",Raleigh,NC,35.774923,-78.645894
RHI,"Rhinecliff, New York",Rhinecliff,NY,41.921346,-73.951278
RIC,"Richmond, California",Richmond,CA,37.936752,-122.35413
RIV,"Riverside, California",Riverside-Downtown,CA,33.97567,-117.369988
RKV,"Rockville, Maryland",Rockville,MD,39.084547,-77.145995
RLN,"Rocklin, California",Rocklin,CA,38.791006,-121.237299
RMT,"Rocky Mount, North Carolina",Rocky Mount,NC,35.938001,-77.797855
RNO,"Reno, Nevada",Reno,NV,39.528521,-119.812123
ROC,"Rochester, New York",Rochester,NY,43.163411,-77.608057
ROM,"Rome, New York",Rome,NY,43.199425,-75.44996
ROY,"Royal Oak, Michigan",Royal Oak,MI,42.488439,-83.14701
RPH,"Randolph, Vermont",Randolph,VT,43.922398,-72.665459
RSP,"Rouses Point, New York",Rouses Point,NY,44.99487,-73.371093
RSV,"Roseville, California",Roseville,CA,38.750016,-121.286286
RTE,"Westwood, Route 128 Station, Massachusetts",Route 128,MA,42.210242,-71.147894
RTL,"Rantoul, Illinois",Rantoul,IL,40.310905,-88.159126
RUD,"Rutland, Vermont",Rutland,VT,43.605756,-72.981538
RUG,"Rugby, North Dakota",Rugby,ND,48.369846,-99.997556
RVM,"Richmond (Main St), Virginia",Richmond,VA,37.534209,-77.429512
RVR,"Richmond (Staples Mill Rd), Virginia",Richmond,VA,37.617693,-77.496943
SAB,"St. Albans, Vermont",St. Albans,VT,44.81236,-73.086191
SAC,"Sacramento, California",Sacramento,CA,38.584004,-121.500704
SAL,"Salisbury, North Carolina",Salisbury,NC,35.667496,-80.466323
SAN,"San Diego (Downtown), California",San Diego,CA,32.716169,-117.169576
SAO,"Saco, Maine",Saco,ME,43.496191,-70.449139
SAR,"Saratoga Springs, New York",Saratoga Springs,NY,43.08281,-73.810027
SAS,"San Antonio, Texas",San Antonio,TX,29.41935,-98.478143
SAV,"Savannah, Georgia",Savannah,GA,32.083412,-81.148264
SBA,"Santa Barbara, California",Santa Barbara,CA,34.413718,-119.692785
SBG,"Sebring, Florida",Sebring,FL,27.496632,-81.434202
SBY,"Shelby, Montana",Shelby,MT,48.506748,-111.856649
SCC,University Station,Santa Clara University,CA,37.353219,-121.936576
SCD,"St. Cloud, Minnesota",St. Cloud,MN,45.567748,-94.149093
SCH,"Schriever, Louisiana",Schriever,LA,29.746678,-90.815246
SDL,"Slidell, Louisiana",Slidell,LA,30.278372,-89.782565
SDY,"Schenectady, New York",Schenectady,NY,42.814606,-73.942887
SEA,"Seattle (Amtrak), Washington",Seattle,WA,47.598445,-122.330161
SED,"Sedalia, Missouri",Sedalia,MO,38.711604,-93.228706
SFA,"Sanford (Auto Train), Florida",Sanford,FL,28.808544,-81.291274
SIM,"Simi Valley, California",Simi Valley,CA,34.270204,-118.695163
SJC,"San Jose, California",San Jose,CA,37.329933,-121.902388
SJM,"St. Joseph, Michigan",St. Joseph-Benton Harbor,MI,42.10908,-86.484484
SKN,"Stockton (711-718), California",Stockton,CA,37.945468,-121.285632
SKT,"Stockton (ACE, 701-704), California",Stockton  - ACE Station,CA,37.957038,-121.279
SKY,"Sandusky, Ohio",Sandusky,OH,41.440671,-82.717866
SLC,"Salt Lake City, Utah",Salt Lake City,UT,40.761661,-111.908349
SLM,"Salem, Oregon",Salem,OR,44.932331,-123.028331
SLO,"San Luis Obispo, California",San Luis Obispo,CA,35.276434,-120.654701
SMC,"San Marcos, Texas",San Marcos,TX,29.876571,-97.941049
SMT,"Summit, Illinois",Summit,IL,41.794912,-87.809742
SNA,"Santa Ana, California",Santa Ana,CA,33.751629,-117.856607
SNB,"San Bernardino (Amtrak Station), California",San Bernardino,CA,34.104112,-117.310659
SNC,"San Juan Capistrano, California",San Juan Capistrano,CA,33.501318,-117.663813
SND,"Sanderson, Texas",Sanderson,TX,30.139951,-102.398746
